1/6/2024 10:58:03 PM,Nakaži: 54 €,54
1/6/2024 11:06:37 PM,Dvig: 54 €,54
1/6/2024 11:08:22 PM,Dvig: 65 €,65
1/6/2024 11:11:15 PM,Nakaži: 76 €,76
1/6/2024 11:14:14 PM,Dvig: 5 €,5
1/6/2024 11:14:47 PM,Dvig: 7 €,7
1/6/2024 11:15:25 PM,Nakaži: 65 €,65
1/6/2024 11:15:35 PM,Nakaži: 5 €,5
1/6/2024 11:15:37 PM,Dvig: 67 €,67
1/6/2024 11:15:47 PM,Nakaži: 5 €,5
1/6/2024 11:15:51 PM,Dvig: 67 €,67
1/6/2024 11:15:59 PM,Nakaži: 6 €,6
1/6/2024 11:16:10 PM,Dvig: 56 €,56
1/6/2024 11:16:18 PM,Nakaži: 5 €,5
1/6/2024 11:16:46 PM,Nakaži: 65 €,65
1/6/2024 11:17:53 PM,Dvig: 56 €,56
